file,manual_id
20210222T073000+0100_Short-term_Makokou__t00300s__conf0.77.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00302s__conf0.59.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00309s__conf0.51.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00310s__conf0.59.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00319s__conf0.76.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00320s__conf0.65.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00321s__conf0.77.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00322s__conf0.79.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00323s__conf0.94.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00378s__conf0.53.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00456s__conf0.52.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00517s__conf0.68.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00619s__conf0.68.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00856s__conf0.57.wav,Noise
20210222T073000+0100_Short-term_Makokou__t01460s__conf0.64.wav,Noise
20210222T073000+0100_Short-term_Makokou__t01605s__conf0.51.wav,Noise
20210222T073000+0100_Short-term_Makokou__t01606s__conf0.55.wav,Noise
20210222T073000+0100_Short-term_Makokou__t01669s__conf0.72.wav,Noise
20210222T073000+0100_Short-term_Makokou__t01670s__conf0.85.wav,Noise
20210222T073000+0100_Short-term_Makokou__t01756s__conf0.88.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00203s__conf0.67.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00215s__conf0.50.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00216s__conf0.63.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00216s__conf0.81.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00327s__conf0.61.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00416s__conf0.72.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00439s__conf0.52.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00818s__conf0.63.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00862s__conf0.57.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00872s__conf0.52.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00873s__conf0.64.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00952s__conf0.86.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00953s__conf0.75.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00953s__conf0.97.wav,Noise
20210222T080000+0100_Short-term_Makokou__t00988s__conf0.67.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01095s__conf0.54.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01105s__conf0.73.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01298s__conf0.50.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01299s__conf0.52.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01361s__conf0.58.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01382s__conf0.73.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01383s__conf0.84.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01429s__conf0.59.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01448s__conf0.70.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01449s__conf0.55.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01490s__conf0.86.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01491s__conf0.62.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01507s__conf0.54.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01565s__conf0.60.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01566s__conf0.51.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01572s__conf0.53.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01618s__conf0.55.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01628s__conf0.73.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01629s__conf0.85.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01652s__conf0.73.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01652s__conf0.77.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01658s__conf0.69.wav,Noise
20210222T080000+0100_Short-term_Makokou__t01659s__conf0.80.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00023s__conf0.75.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00245s__conf0.52.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00245s__conf0.83.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00488s__conf0.63.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00489s__conf0.52.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00489s__conf0.87.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00490s__conf0.71.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00706s__conf0.55.wav,Noise
20210222T083000+0100_Short-term_Makokou__t00886s__conf0.52.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01033s__conf0.49.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01063s__conf0.60.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01082s__conf0.66.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01083s__conf0.56.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01084s__conf0.64.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01159s__conf0.65.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01160s__conf0.76.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01203s__conf0.51.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01208s__conf0.61.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01332s__conf0.88.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01333s__conf0.72.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01414s__conf0.53.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01482s__conf0.84.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01547s__conf0.58.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01548s__conf0.81.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01617s__conf0.54.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01725s__conf0.53.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01726s__conf0.66.wav,Noise
20210222T083000+0100_Short-term_Makokou__t01727s__conf0.57.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00002s__conf0.60.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00120s__conf0.71.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00121s__conf0.88.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00157s__conf0.56.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00158s__conf0.79.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00186s__conf0.51.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00422s__conf0.72.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00608s__conf0.69.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00627s__conf0.70.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00631s__conf0.66.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00646s__conf0.61.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00674s__conf0.57.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00678s__conf0.55.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00722s__conf0.72.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00966s__conf0.61.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00967s__conf0.67.wav,Noise
20210222T090000+0100_Short-term_Makokou__t00972s__conf0.65.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01171s__conf0.59.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01172s__conf0.61.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01206s__conf0.64.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01208s__conf0.52.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01210s__conf0.58.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01211s__conf0.60.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01212s__conf0.58.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01216s__conf0.60.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01217s__conf0.53.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01353s__conf0.74.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01354s__conf0.77.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01492s__conf0.69.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01493s__conf0.83.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01515s__conf0.54.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01516s__conf0.51.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01516s__conf0.91.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01517s__conf0.89.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01519s__conf0.53.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01520s__conf0.64.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01521s__conf0.76.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01522s__conf0.56.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01548s__conf0.73.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01555s__conf0.60.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01556s__conf0.50.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01556s__conf0.85.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01558s__conf0.69.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01559s__conf0.83.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01560s__conf0.64.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01574s__conf0.71.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01575s__conf0.58.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01575s__conf0.89.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01576s__conf0.85.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01577s__conf0.57.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01599s__conf0.58.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01624s__conf0.58.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01667s__conf0.63.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01697s__conf0.60.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01698s__conf0.77.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01700s__conf0.53.wav,Noise
20210222T090000+0100_Short-term_Makokou__t01701s__conf0.84.wav,Noise
20210222T093000+0100_Short-term_Makokou__t00965s__conf0.60.wav,Noise
20210222T093000+0100_Short-term_Makokou__t00966s__conf0.52.wav,Noise
20210222T093000+0100_Short-term_Makokou__t00967s__conf0.59.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01027s__conf0.54.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01042s__conf0.60.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01163s__conf0.55.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01164s__conf0.51.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01206s__conf0.90.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01329s__conf0.65.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01330s__conf0.86.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01353s__conf0.54.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01367s__conf0.73.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01385s__conf0.65.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01480s__conf0.59.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01481s__conf0.70.wav,Noise
20210222T093000+0100_Short-term_Makokou__t01701s__conf0.80.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00023s__conf0.62.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00026s__conf0.70.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00028s__conf0.64.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00105s__conf0.87.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00106s__conf0.52.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00108s__conf0.60.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00122s__conf0.54.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00123s__conf0.60.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00342s__conf0.66.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00669s__conf0.59.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00836s__conf0.64.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00837s__conf0.77.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00850s__conf0.57.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00998s__conf0.70.wav,Noise
20210222T100000+0100_Short-term_Makokou__t00999s__conf0.82.wav,Noise
20210222T100000+0100_Short-term_Makokou__t01021s__conf0.60.wav,Noise
20210222T100000+0100_Short-term_Makokou__t01223s__conf0.54.wav,Noise
20210222T100000+0100_Short-term_Makokou__t01506s__conf0.60.wav,Noise
20210222T100000+0100_Short-term_Makokou__t01557s__conf0.59.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00070s__conf0.68.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00071s__conf0.75.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00074s__conf0.56.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00093s__conf0.76.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00104s__conf0.74.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00105s__conf0.80.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00163s__conf0.54.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00163s__conf0.88.wav,Noise
20210222T103000+0100_Short-term_Makokou__t00164s__conf0.75.wav,Noise
20210223T053000+0100_Short-term_Makokou__t00210s__conf0.73.wav,Noise
20210223T053000+0100_Short-term_Makokou__t00341s__conf0.89.wav,Noise
20210223T053000+0100_Short-term_Makokou__t00342s__conf0.83.wav,Noise
20210223T053000+0100_Short-term_Makokou__t00634s__conf0.59.wav,Noise
20210223T053000+0100_Short-term_Makokou__t00668s__conf0.74.wav,Noise
20210223T053000+0100_Short-term_Makokou__t00669s__conf0.83.wav,Noise
20210223T053000+0100_Short-term_Makokou__t00688s__conf0.55.wav,Noise
20210223T053000+0100_Short-term_Makokou__t01024s__conf0.55.wav,Noise
20210223T053000+0100_Short-term_Makokou__t01477s__conf0.56.wav,Noise
20210223T053000+0100_Short-term_Makokou__t01540s__conf0.69.wav,Noise
20210223T053000+0100_Short-term_Makokou__t01541s__conf0.72.wav,Noise
20210223T053000+0100_Short-term_Makokou__t01557s__conf0.61.wav,Noise
20210223T053000+0100_Short-term_Makokou__t01557s__conf0.65.wav,Noise
20210223T060000+0100_Short-term_Makokou__t00615s__conf0.77.wav,Noise
20210223T060000+0100_Short-term_Makokou__t00615s__conf0.90.wav,Noise
20210223T060000+0100_Short-term_Makokou__t00922s__conf0.60.wav,Noise
20210223T060000+0100_Short-term_Makokou__t00923s__conf0.61.wav,Noise
20210223T063000+0100_Short-term_Makokou__t00253s__conf0.62.wav,Noise
20210223T063000+0100_Short-term_Makokou__t00454s__conf0.51.wav,Noise
20210223T063000+0100_Short-term_Makokou__t00454s__conf0.81.wav,Noise
20210223T063000+0100_Short-term_Makokou__t01225s__conf0.65.wav,Noise
20210223T063000+0100_Short-term_Makokou__t01226s__conf0.71.wav,Noise
20210223T063000+0100_Short-term_Makokou__t01540s__conf0.59.wav,Noise
20210223T070000+0100_Short-term_Makokou__t00005s__conf0.72.wav,Noise
20210223T070000+0100_Short-term_Makokou__t00633s__conf0.50.wav,Noise
20210223T070000+0100_Short-term_Makokou__t00901s__conf0.82.wav,Noise
20210223T070000+0100_Short-term_Makokou__t00902s__conf0.73.wav,Noise
20210223T070000+0100_Short-term_Makokou__t00953s__conf0.65.wav,Noise
20210223T070000+0100_Short-term_Makokou__t01169s__conf0.50.wav,Noise
20210223T070000+0100_Short-term_Makokou__t01289s__conf0.88.wav,Noise
20210223T070000+0100_Short-term_Makokou__t01290s__conf0.92.wav,Noise
20210223T070000+0100_Short-term_Makokou__t01525s__conf0.72.wav,Noise
20210223T070000+0100_Short-term_Makokou__t01526s__conf0.69.wav,Noise
20210223T070000+0100_Short-term_Makokou__t01787s__conf0.55.wav,Noise
20210223T073000+0100_Short-term_Makokou__t00230s__conf0.51.wav,Noise
20210223T073000+0100_Short-term_Makokou__t00476s__conf0.51.wav,Noise
20210223T073000+0100_Short-term_Makokou__t00482s__conf0.56.wav,Noise
20210223T073000+0100_Short-term_Makokou__t00625s__conf0.57.wav,Noise
20210223T073000+0100_Short-term_Makokou__t00626s__conf0.72.wav,Noise
20210223T073000+0100_Short-term_Makokou__t00627s__conf0.68.wav,Noise
20210223T073000+0100_Short-term_Makokou__t00669s__conf0.52.wav,Noise
20210223T073000+0100_Short-term_Makokou__t00873s__conf0.53.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01004s__conf0.68.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01023s__conf0.61.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01024s__conf0.51.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01100s__conf0.58.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01158s__conf0.77.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01311s__conf0.51.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01314s__conf0.75.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01336s__conf0.54.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01380s__conf0.64.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01456s__conf0.51.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01457s__conf0.76.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01480s__conf0.75.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01494s__conf0.52.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01722s__conf0.56.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01723s__conf0.67.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01728s__conf0.57.wav,Noise
20210223T073000+0100_Short-term_Makokou__t01729s__conf0.61.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00100s__conf0.52.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00170s__conf0.65.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00194s__conf0.60.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00300s__conf0.52.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00456s__conf0.52.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00541s__conf0.48.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00843s__conf0.71.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00844s__conf0.67.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00877s__conf0.51.wav,Noise
20210223T080000+0100_Short-term_Makokou__t00878s__conf0.68.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01059s__conf0.66.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01095s__conf0.61.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01345s__conf0.56.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01346s__conf0.63.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01383s__conf0.69.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01384s__conf0.66.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01410s__conf0.58.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01449s__conf0.54.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01449s__conf0.89.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01450s__conf0.54.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01450s__conf0.97.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01452s__conf0.64.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01453s__conf0.70.wav,Noise
20210223T080000+0100_Short-term_Makokou__t01627s__conf0.63.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00040s__conf0.68.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00425s__conf0.55.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00831s__conf0.50.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00893s__conf0.61.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00897s__conf0.55.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00902s__conf0.79.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00903s__conf0.58.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00903s__conf0.95.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00904s__conf0.83.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00905s__conf0.87.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00906s__conf0.91.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00907s__conf0.91.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00908s__conf0.89.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00909s__conf0.92.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00938s__conf0.56.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00939s__conf0.75.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00940s__conf0.87.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00941s__conf0.77.wav,Noise
20210223T083000+0100_Short-term_Makokou__t00942s__conf0.58.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01000s__conf0.51.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01001s__conf0.76.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01051s__conf0.74.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01076s__conf0.81.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01077s__conf0.86.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01078s__conf0.81.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01079s__conf0.68.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01172s__conf0.61.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01184s__conf0.79.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01185s__conf0.57.wav,Noise
20210223T083000+0100_Short-term_Makokou__t01217s__conf0.80.wav,Noise
