file,site,new_label,new_source,reason,decided_by
Cernic__20210225T133000+0100_Short-term_Makokou__00711s__conf0.767.wav,IPA2ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210222T085958553+0100_E20210222T092953877+0100___00355s__conf0.748.wav,IPA19ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210222T095957430+0100_E20210222T102953940+0100___01351s__conf0.513.wav,IPA19ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210222T095957430+0100_E20210222T102953940+0100___01352s__conf0.978.wav,IPA19ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210224T172943044+0100_E20210224T175942047+0100___00685s__conf0.839.wav,IPA8ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210224T172943044+0100_E20210224T175942047+0100___00719s__conf0.501.wav,IPA8ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210224T172948996+0100_E20210224T175947321+0100___01243s__conf0.995.wav,IPA19ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210225T055946728+0100_E20210225T062945397+0100___00619s__conf0.954.wav,IPA18ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210225T055946728+0100_E20210225T062945397+0100___00620s__conf0.917.wav,IPA18ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210225T075945250+0100_E20210225T082944290+0100___00351s__conf0.563.wav,IPA18ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210225T152942038+0100_E20210225T155939998+0100___01225s__conf0.525.wav,IPA8ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210225T172949954+0100_E20210225T175944999+0100___01509s__conf0.959.wav,IPA20ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__S20210225T172949954+0100_E20210225T175944999+0100___01510s__conf0.999.wav,IPA20ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210223T143000+0100_Short-term_Makokou__00812s__conf0.623.wav,IPA4ST,Cernic,review:expert_recovered_call,"expert flagged this as Cercopithecus among the 2,370 IPA4ST review negatives but did not return it with the pogonias, so it stands as C. nictitans pending his answer","Santiago Perea, 2026-08-18 (species pending)"
