file,site,reason,decided_by
Cernic__S20210224T062951887+0100_E20210224T065949395+0100_+00.4842+012.7222__00614s__conf0.745.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T175952593+0100_E20210224T182947638+0100_+00.4842+012.7222__01514s__conf0.830.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T172949954+0100_E20210225T175944999+0100_+00.4842+012.7222__01509s__conf0.959.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T172949954+0100_E20210225T175944999+0100_+00.4842+012.7222__01510s__conf0.999.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T175949946+0100_E20210225T182944991+0100_+00.4842+012.7222__01151s__conf0.695.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T175949946+0100_E20210225T182944991+0100_+00.4842+012.7222__01153s__conf0.995.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T175949946+0100_E20210225T182944991+0100_+00.4842+012.7222__01155s__conf0.813.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T090000+0100_Short-term_Makokou__00384s__conf1.000.wav,IPA2ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T090000+0100_Short-term_Makokou__00387s__conf0.999.wav,IPA2ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00693s__conf0.745.wav,IPA2ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00694s__conf0.995.wav,IPA2ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00698s__conf0.977.wav,IPA2ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00711s__conf0.767.wav,IPA2ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210223T133000+0100_Short-term_Makokou__01140s__conf0.714.wav,IPA6ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210223T133000+0100_Short-term_Makokou__01141s__conf0.819.wav,IPA6ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T053000+0100_Short-term_Makokou__00721s__conf0.667.wav,IPA6ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210222T060000+0100_Short-term_Makokou__01472s__conf0.990.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210222T063000+0100_Short-term_Makokou__00845s__conf0.594.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210223T090000+0100_Short-term_Makokou__00804s__conf0.990.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210223T090000+0100_Short-term_Makokou__00806s__conf0.785.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210223T090000+0100_Short-term_Makokou__00809s__conf0.585.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210223T090000+0100_Short-term_Makokou__00810s__conf0.998.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210223T090000+0100_Short-term_Makokou__00932s__conf0.880.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00165s__conf0.967.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00174s__conf0.505.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00185s__conf0.803.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00190s__conf0.929.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00218s__conf0.954.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T150000+0100_Short-term_Makokou__00786s__conf0.896.wav,IPA7ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T032948458+0100_E20210223T035947125+0100_+00.5025+012.7767__00244s__conf0.941.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T095944565+0100_E20210224T102943496+0100_+00.5025+012.7767__00955s__conf0.999.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T095944565+0100_E20210224T102943496+0100_+00.5025+012.7767__00956s__conf0.980.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T095944565+0100_E20210224T102943496+0100_+00.5025+012.7767__00957s__conf0.850.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172943044+0100_E20210224T175942047+0100_+00.5025+012.7767__00649s__conf1.000.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172943044+0100_E20210224T175942047+0100_+00.5025+012.7767__00685s__conf0.839.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172943044+0100_E20210224T175942047+0100_+00.5025+012.7767__00719s__conf0.501.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T152942038+0100_E20210225T155939998+0100_+00.5025+012.7767__01225s__conf0.525.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T162940257+0100_E20210225T165939238+0100_+00.5025+012.7767__01181s__conf0.792.wav,IPA8ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
